城市,日期,銷售額,評分_平均,商品類型,比賽日,是比賽日
Baku,2024-02-01,233,4.004990105769971,一日遊,,False
Baku,2024-02-02,288,4.438165026060901,美食體驗,,False
Baku,2024-02-03,365,4.5070688398905805,交通票券,,False
Baku,2024-02-04,533,4.324251110370196,門票,,False
Baku,2024-02-05,409,4.66121614941745,交通票券,,False
Baku,2024-02-06,317,4.843858873862568,交通票券,,False
Baku,2024-02-07,460,4.062321121815386,門票,,False
Baku,2024-02-08,270,4.0838073423687185,交通票券,,False
Baku,2024-02-09,400,4.318391800602885,美食體驗,,False
Baku,2024-02-10,505,4.18151906365418,交通票券,,False
Baku,2024-02-11,139,4.804724784650822,門票,,False
Baku,2024-02-12,437,4.92796033404664,門票,,False
Baku,2024-02-13,321,4.922672426846422,一日遊,,False
Baku,2024-02-14,306,4.055099318431242,美食體驗,,False
Baku,2024-02-15,355,4.516055791363348,一日遊,,False
Baku,2024-02-16,189,4.528115157668699,門票,,False
Baku,2024-02-17,251,4.760180222791524,一日遊,,False
Baku,2024-02-18,257,4.631419008297629,交通票券,,False
Baku,2024-02-19,245,4.011547071751475,門票,,False
Baku,2024-02-20,397,4.656434231129671,一日遊,,False
Baku,2024-02-21,359,4.204885553219467,門票,,False
Baku,2024-02-22,392,4.9722422009162015,交通票券,,False
Baku,2024-02-23,186,4.752478779120438,交通票券,,False
Baku,2024-02-24,339,4.906765254160123,美食體驗,,False
Baku,2024-02-25,373,4.720102684570763,門票,,False
Baku,2024-02-26,295,4.482660903929466,美食體驗,,False
Baku,2024-02-27,381,4.62426635022535,一日遊,,False
Baku,2024-02-28,184,4.907521719186715,門票,,False
Baku,2024-02-29,239,4.436600532917989,交通票券,,False
Baku,2024-03-01,175,4.1201850352791745,美食體驗,,False
Baku,2024-03-02,192,4.37357434492516,美食體驗,,False
Baku,2024-03-03,410,4.869046283497763,交通票券,,False
Baku,2024-03-04,255,4.692645810638889,交通票券,,False
Baku,2024-03-05,91,4.324829637777052,交通票券,,False
Baku,2024-03-06,128,4.9482657965723735,門票,,False
Baku,2024-03-07,465,4.627604000957504,交通票券,,False
Baku,2024-03-08,167,4.158101540568207,一日遊,,False
Baku,2024-03-09,311,4.455931898984062,一日遊,,False
Baku,2024-03-10,277,4.139937133473471,一日遊,,False
Baku,2024-03-11,129,4.974210596682868,一日遊,,False
Baku,2024-03-12,132,4.467258819679902,一日遊,,False
Baku,2024-03-13,514,4.178346247362247,交通票券,,False
Baku,2024-03-14,430,4.211235079013036,交通票券,,False
Baku,2024-03-15,472,4.17987701489108,門票,,False
Baku,2024-03-16,336,4.1941562598678415,交通票券,,False
Baku,2024-03-17,426,4.062109907520123,交通票券,,False
Baku,2024-03-18,413,4.014601364480366,交通票券,,False
Baku,2024-03-19,372,4.865455418543026,門票,,False
Baku,2024-03-20,180,4.550216427166465,美食體驗,,False
Baku,2024-03-21,408,4.605118053193317,美食體驗,,False
Baku,2024-03-22,351,4.272948812670668,門票,,False
Baku,2024-03-23,94,4.025450485748085,美食體驗,,False
Baku,2024-03-24,272,4.139103733236254,一日遊,,False
Baku,2024-03-25,414,4.103273573199465,門票,,False
Baku,2024-03-26,244,4.8413098222772915,門票,,False
Baku,2024-03-27,439,4.547364411128463,美食體驗,,False
Baku,2024-03-28,178,4.820987611814641,美食體驗,,False
Baku,2024-03-29,148,4.2901204995566085,交通票券,,False
Baku,2024-03-30,255,4.427897416698681,門票,,False
Baku,2024-03-31,439,4.761275558809925,一日遊,,False
Baku,2024-04-01,195,4.265988300453918,一日遊,,False
Baku,2024-04-02,336,4.205417191931762,交通票券,,False
Baku,2024-04-03,498,4.984488327768337,一日遊,,False
Baku,2024-04-04,525,4.347038090004462,交通票券,,False
Baku,2024-04-05,382,4.738033443992214,門票,,False
Baku,2024-04-06,238,4.062697614767235,一日遊,,False
Baku,2024-04-07,417,4.469333949740408,美食體驗,,False
Baku,2024-04-08,280,4.064882718236585,美食體驗,,False
Baku,2024-04-09,294,4.4052630638729475,美食體驗,,False
Baku,2024-04-10,131,4.046334759965604,一日遊,,False
Baku,2024-04-11,259,4.021568923067697,美食體驗,,False
Baku,2024-04-12,430,4.123680350698507,美食體驗,,False
Baku,2024-04-13,138,4.218010526264259,門票,,False
Baku,2024-04-14,427,4.317410752746216,交通票券,,False
Baku,2024-04-15,114,4.5341551529971404,門票,,False
Baku,2024-04-16,421,4.106173524966344,門票,,False
Baku,2024-04-17,473,4.895787550020695,門票,,False
