城市,日期,銷售額,評分_平均,商品類型,是比賽日
Baku,2024-02-01,233,4.004990105769970,一日遊,FALSE
Baku,2024-02-02,288,4.438165026060900,美食體驗,FALSE
Baku,2024-02-03,365,4.5070688398905800,交通票券,FALSE
Baku,2024-02-04,533,4.324251110370200,門票,FALSE
Baku,2024-02-05,409,4.66121614941745,交通票券,FALSE
Baku,2024-02-06,317,4.843858873862570,交通票券,FALSE
Baku,2024-02-07,460,4.062321121815390,門票,FALSE
Baku,2024-02-08,270,4.0838073423687200,交通票券,FALSE
Baku,2024-02-09,400,4.318391800602890,美食體驗,FALSE
Baku,2024-02-10,505,4.18151906365418,交通票券,FALSE
Baku,2024-02-11,139,4.804724784650820,門票,FALSE
Baku,2024-02-12,437,4.92796033404664,門票,FALSE
Baku,2024-02-13,321,4.922672426846420,一日遊,FALSE
Baku,2024-02-14,306,4.055099318431240,美食體驗,FALSE
Baku,2024-02-15,355,4.516055791363350,一日遊,FALSE
Baku,2024-02-16,189,4.528115157668700,門票,FALSE
Baku,2024-02-17,251,4.760180222791520,一日遊,FALSE
Baku,2024-02-18,257,4.631419008297630,交通票券,FALSE
Baku,2024-02-19,245,4.011547071751480,門票,FALSE
Baku,2024-02-20,397,4.656434231129670,一日遊,FALSE
Baku,2024-02-21,359,4.204885553219470,門票,FALSE
Baku,2024-02-22,392,4.9722422009162000,交通票券,FALSE
Baku,2024-02-23,186,4.752478779120440,交通票券,FALSE
Baku,2024-02-24,339,4.906765254160120,美食體驗,FALSE
Baku,2024-02-25,373,4.720102684570760,門票,FALSE
Baku,2024-02-26,295,4.482660903929470,美食體驗,FALSE
Baku,2024-02-27,381,4.62426635022535,一日遊,FALSE
Baku,2024-02-28,184,4.907521719186720,門票,FALSE
Baku,2024-02-29,239,4.436600532917990,交通票券,FALSE
Baku,2024-03-01,175,4.1201850352791700,美食體驗,FALSE
Baku,2024-03-02,192,4.37357434492516,美食體驗,FALSE
Baku,2024-03-03,410,4.869046283497760,交通票券,FALSE
Baku,2024-03-04,255,4.692645810638890,交通票券,FALSE
Baku,2024-03-05,91,4.324829637777050,交通票券,FALSE
Baku,2024-03-06,128,4.9482657965723700,門票,FALSE
Baku,2024-03-07,465,4.627604000957500,交通票券,FALSE
Baku,2024-03-08,167,4.158101540568210,一日遊,FALSE
Baku,2024-03-09,311,4.455931898984060,一日遊,FALSE
Baku,2024-03-10,277,4.139937133473470,一日遊,FALSE
Baku,2024-03-11,129,4.974210596682870,一日遊,FALSE
Baku,2024-03-12,132,4.467258819679900,一日遊,FALSE
Baku,2024-03-13,514,4.178346247362250,交通票券,FALSE
Baku,2024-03-14,430,4.211235079013040,交通票券,FALSE
Baku,2024-03-15,472,4.17987701489108,門票,FALSE
Baku,2024-03-16,336,4.1941562598678400,交通票券,FALSE
Baku,2024-03-17,426,4.062109907520120,交通票券,FALSE
Baku,2024-03-18,413,4.014601364480370,交通票券,FALSE
Baku,2024-03-19,372,4.865455418543030,門票,FALSE
Baku,2024-03-20,180,4.550216427166470,美食體驗,FALSE
Baku,2024-03-21,408,4.605118053193320,美食體驗,FALSE
Baku,2024-03-22,351,4.272948812670670,門票,FALSE
Baku,2024-03-23,94,4.025450485748090,美食體驗,FALSE
Baku,2024-03-24,272,4.139103733236250,一日遊,FALSE
Baku,2024-03-25,414,4.103273573199470,門票,FALSE
Baku,2024-03-26,244,4.8413098222772900,門票,FALSE
Baku,2024-03-27,439,4.547364411128460,美食體驗,FALSE
Baku,2024-03-28,178,4.820987611814640,美食體驗,FALSE
Baku,2024-03-29,148,4.2901204995566100,交通票券,FALSE
Baku,2024-03-30,255,4.427897416698680,門票,FALSE
Baku,2024-03-31,439,4.761275558809930,一日遊,FALSE
Baku,2024-04-01,195,4.265988300453920,一日遊,FALSE
Baku,2024-04-02,336,4.205417191931760,交通票券,FALSE
Baku,2024-04-03,498,4.984488327768340,一日遊,FALSE
Baku,2024-04-04,525,4.347038090004460,交通票券,FALSE
Baku,2024-04-05,382,4.738033443992210,門票,FALSE
Baku,2024-04-06,238,4.062697614767240,一日遊,FALSE
Baku,2024-04-07,417,4.469333949740410,美食體驗,FALSE
Baku,2024-04-08,280,4.064882718236590,美食體驗,FALSE
Baku,2024-04-09,294,4.4052630638729500,美食體驗,FALSE
Baku,2024-04-10,131,4.046334759965600,一日遊,FALSE
Baku,2024-04-11,259,4.021568923067700,美食體驗,FALSE
Baku,2024-04-12,430,4.123680350698510,美食體驗,FALSE
Baku,2024-04-13,138,4.218010526264260,門票,FALSE
Baku,2024-04-14,427,4.317410752746220,交通票券,FALSE
Baku,2024-04-15,114,4.5341551529971400,門票,FALSE
Baku,2024-04-16,421,4.106173524966340,門票,FALSE
Baku,2024-04-17,473,4.895787550020700,門票,FALSE
Baku,2024-04-18,436,4.120552938279690,美食體驗,FALSE
Baku,2024-04-19,410,4.1512045686769900,一日遊,FALSE
Baku,2024-04-20,394,4.3048493807282000,美食體驗,FALSE
Baku,2024-04-21,325,4.095222570578640,美食體驗,FALSE
Baku,2024-04-22,222,4.747248960897720,美食體驗,FALSE
Baku,2024-04-23,277,4.93942402643256,交通票券,FALSE
Baku,2024-04-24,181,4.808872235171490,交通票券,FALSE
Baku,2024-04-25,410,4.122344436010180,美食體驗,FALSE
Baku,2024-04-26,482,4.012455952825140,門票,FALSE
Baku,2024-04-27,253,4.5361081758823300,交通票券,FALSE
Baku,2024-04-28,156,4.899198577508160,一日遊,FALSE
Baku,2024-04-29,453,4.915945941661090,交通票券,FALSE
Baku,2024-04-30,110,4.0806993599866600,一日遊,FALSE
Baku,2024-05-01,506,4.7449215915834300,一日遊,FALSE
Baku,2024-05-02,410,4.174789602470930,一日遊,FALSE
Baku,2024-05-03,123,4.94409618076494,門票,FALSE
Baku,2024-05-04,295,4.4313342338650000,交通票券,FALSE
Baku,2024-05-05,161,4.411317862019860,一日遊,FALSE
Baku,2024-05-06,343,4.623909590374110,一日遊,FALSE
Baku,2024-05-07,219,4.397735146195140,美食體驗,FALSE
Baku,2024-05-08,418,4.886887171157460,一日遊,FALSE
Baku,2024-05-09,487,4.944539449399860,交通票券,FALSE
Baku,2024-05-10,335,4.6108715315183900,美食體驗,FALSE
Baku,2024-05-11,160,4.278225982914420,門票,FALSE
Baku,2024-05-12,387,4.7674356185470500,美食體驗,FALSE
Baku,2024-05-13,360,4.756229543805210,美食體驗,FALSE
Baku,2024-05-14,273,4.310759627032590,門票,FALSE
Baku,2024-05-15,158,4.64623823039864,交通票券,FALSE
Baku,2024-05-16,488,4.625921255104940,一日遊,FALSE
Baku,2024-05-17,346,4.341331633866980,一日遊,FALSE
Baku,2024-05-18,361,4.9755811787663200,門票,FALSE
Baku,2024-05-19,420,4.383835000755850,美食體驗,FALSE
Baku,2024-05-20,337,4.205421612966310,美食體驗,FALSE
Baku,2024-05-21,195,4.376156147763000,交通票券,FALSE
Baku,2024-05-22,332,4.95735424102888,美食體驗,FALSE
Baku,2024-05-23,321,4.446942502505170,美食體驗,FALSE
Baku,2024-05-24,366,4.229051807091760,交通票券,FALSE
Baku,2024-05-25,116,4.76980732507823,門票,FALSE
Baku,2024-05-26,484,4.9384935788801500,美食體驗,FALSE
Baku,2024-05-27,377,4.199218371326760,美食體驗,FALSE
Baku,2024-05-28,137,4.575550762779990,交通票券,FALSE
Baku,2024-05-29,347,4.0592838713611700,一日遊,FALSE
Baku,2024-05-30,176,4.373725463275890,美食體驗,FALSE
Baku,2024-05-31,425,4.376791019579540,門票,FALSE
Baku,2024-06-01,230,4.934100541235630,一日遊,FALSE
Baku,2024-06-02,164,4.526184888770960,一日遊,FALSE
Baku,2024-06-03,406,4.956447255977390,美食體驗,FALSE
Baku,2024-06-04,229,4.129379948855110,門票,FALSE
Baku,2024-06-05,73,4.652487299308370,一日遊,FALSE
Baku,2024-06-06,332,4.942903646646910,交通票券,FALSE
Baku,2024-06-07,359,4.985637902482340,一日遊,FALSE
Baku,2024-06-08,321,4.584089807570400,美食體驗,FALSE
Baku,2024-06-09,436,4.5023975629406400,美食體驗,FALSE
Baku,2024-06-10,455,4.2909332333814400,美食體驗,FALSE
Baku,2024-06-11,152,4.723435933905800,交通票券,FALSE
Baku,2024-06-12,463,4.371269858590430,美食體驗,FALSE
Baku,2024-06-13,206,4.605813300790120,門票,FALSE
Baku,2024-06-14,250,4.069658280302030,交通票券,FALSE
Baku,2024-06-15,297,4.548519859242130,交通票券,FALSE
Baku,2024-06-16,295,4.158649816758130,美食體驗,FALSE
Baku,2024-06-17,257,4.4388056410919800,一日遊,FALSE
Baku,2024-06-18,206,4.848035424071820,一日遊,FALSE
Baku,2024-06-19,212,4.966141374014700,一日遊,FALSE
Baku,2024-06-20,300,4.161992126273240,門票,FALSE
Baku,2024-06-21,288,4.810608016921080,交通票券,FALSE
Baku,2024-06-22,338,4.05649605051951,一日遊,FALSE
Baku,2024-06-23,153,4.424433916700990,一日遊,FALSE
Baku,2024-06-24,304,4.476871865161370,交通票券,FALSE
Baku,2024-06-25,409,4.66021931395678,交通票券,FALSE
Baku,2024-06-26,417,4.663870071629490,一日遊,FALSE
Baku,2024-06-27,372,4.198853422743180,交通票券,FALSE
