城市,週,銷售額,是否比賽週
Baku,2024-01-29,1419,False
Baku,2024-02-05,2500,False
Baku,2024-02-12,2116,False
Baku,2024-02-19,2291,False
Baku,2024-02-26,1876,False
Baku,2024-03-04,1694,False
Baku,2024-03-11,2439,False
Baku,2024-03-18,2090,False
Baku,2024-03-25,2117,False
Baku,2024-04-01,2591,False
Baku,2024-04-08,1959,False
Baku,2024-04-15,2573,False
Baku,2024-04-22,1981,False
Baku,2024-04-29,2058,False
Baku,2024-05-06,2349,False
Baku,2024-05-13,2406,False
Baku,2024-05-20,2151,False
Baku,2024-05-27,1856,False
Baku,2024-06-03,2156,False
Baku,2024-06-10,2118,False
Baku,2024-06-17,1754,False
Baku,2024-06-24,2329,False
Baku,2024-07-01,2315,False
Baku,2024-07-08,1541,False
Baku,2024-07-15,1995,False
Baku,2024-07-22,1769,False
Baku,2024-07-29,2050,False
Baku,2024-08-05,2295,False
Baku,2024-08-12,2254,False
Baku,2024-08-19,1858,False
Baku,2024-08-26,1675,False
Baku,2024-09-02,1538,False
Baku,2024-09-09,1934,True
Baku,2024-09-16,2265,False
Baku,2024-09-23,1670,False
Baku,2024-09-30,2208,False
Baku,2024-10-07,1968,False
Baku,2024-10-14,1633,False
Baku,2024-10-21,2140,False
Baku,2024-10-28,2105,False
Baku,2024-11-04,2172,False
Baku,2024-11-11,2098,False
Baku,2024-11-18,2060,False
Baku,2024-11-25,2017,False
Baku,2024-12-02,2129,False
Baku,2024-12-09,1336,False
Baku,2024-12-16,1797,False
Baku,2024-12-23,2465,False
Baku,2024-12-30,351,False
Melbourne,2024-01-29,1273,False
Melbourne,2024-02-05,2346,False
Melbourne,2024-02-12,2011,False
Melbourne,2024-02-19,1436,False
Melbourne,2024-02-26,2290,False
Melbourne,2024-03-04,2348,False
Melbourne,2024-03-11,2228,False
Melbourne,2024-03-18,1617,True
Melbourne,2024-03-25,1842,False
Melbourne,2024-04-01,1860,False
Melbourne,2024-04-08,2415,False
Melbourne,2024-04-15,1922,False
Melbourne,2024-04-22,1845,False
Melbourne,2024-04-29,2070,False
Melbourne,2024-05-06,1638,False
Melbourne,2024-05-13,1985,False
Melbourne,2024-05-20,2376,False
Melbourne,2024-05-27,1981,False
Melbourne,2024-06-03,1771,False
Melbourne,2024-06-10,2753,False
Melbourne,2024-06-17,2191,False
Melbourne,2024-06-24,1740,False
Melbourne,2024-07-01,2010,False
Melbourne,2024-07-08,2872,False
Melbourne,2024-07-15,2374,False
Melbourne,2024-07-22,1817,False
Melbourne,2024-07-29,2105,False
Melbourne,2024-08-05,2512,False
Melbourne,2024-08-12,2525,False
Melbourne,2024-08-19,2090,False
Melbourne,2024-08-26,2068,False
Melbourne,2024-09-02,1801,False
Melbourne,2024-09-09,2022,False
Melbourne,2024-09-16,2101,False
Melbourne,2024-09-23,1418,False
Melbourne,2024-09-30,2072,False
Melbourne,2024-10-07,1829,False
Melbourne,2024-10-14,2061,False
Melbourne,2024-10-21,2205,False
Melbourne,2024-10-28,1892,False
Melbourne,2024-11-04,2340,False
Melbourne,2024-11-11,2048,False
Melbourne,2024-11-18,2165,False
Melbourne,2024-11-25,2060,False
Melbourne,2024-12-02,2041,False
Melbourne,2024-12-09,1847,False
Melbourne,2024-12-16,1807,False
Melbourne,2024-12-23,2349,False
Melbourne,2024-12-30,798,False
Monaco,2024-01-29,973,False
Monaco,2024-02-05,2401,False
Monaco,2024-02-12,1964,False
Monaco,2024-02-19,2354,False
Monaco,2024-02-26,1648,False
Monaco,2024-03-04,1938,False
Monaco,2024-03-11,1913,False
Monaco,2024-03-18,2739,False
Monaco,2024-03-25,2217,False
Monaco,2024-04-01,2006,False
Monaco,2024-04-08,2211,False
Monaco,2024-04-15,2215,False
Monaco,2024-04-22,2235,False
Monaco,2024-04-29,1899,False
Monaco,2024-05-06,2257,False
Monaco,2024-05-13,2495,False
Monaco,2024-05-20,1631,True
Monaco,2024-05-27,1720,False
Monaco,2024-06-03,2164,False
Monaco,2024-06-10,2715,False
Monaco,2024-06-17,2430,False
Monaco,2024-06-24,1976,False
Monaco,2024-07-01,2146,False
Monaco,2024-07-08,2434,False
Monaco,2024-07-15,1792,False
Monaco,2024-07-22,1505,False
Monaco,2024-07-29,1793,False
Monaco,2024-08-05,1788,False
